brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,The skirt is giving dragon fruit. So cute ❤😊,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,"Is it just me or
It’s got almost a fish taste? I love the probiotic factor so I’m eating it anyways 100%",love,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,"Yumm but I dunno if It’l work
Because I jus opened n had it",,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Where do you get yours?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Is coconut cult sweetened??,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,So do you just take a spoon every morning?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,"Which is the tastiest? Chocolate, original, or strawberry?",,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Need a workout sports bra haul,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Subtle? I just tasted this and it was tangy. ...is it supposed to be really tangy?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,does it help ibs ?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,How much is it,,comment
